,Date,TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude
286654,2009-08-01,Theft of Bicycle,2009,8,5,18.0,0.0,16XX NAPIER ST,Grandview Woodland,494923.03,5458018.92,49.27490661,-123.069797
506075,2016-08-01,Break and Enter Residential/Other,2016,8,31,21.0,0.0,63XX QUEBEC ST,Sunset,492449.79,5452695.39,49.22699481,-123.1036981
77360,2004-09-01,Mischief,2004,9,25,19.0,41.0,33XX MAQUINNA DR,Killarney,497702.78,5451409.66,49.21547156,-123.0315437
458260,2015-12-01,Theft of Bicycle,2015,12,15,19.0,0.0,19XX W BROADWAY AVE,Kitsilano,489212.99,5456781.66,49.26370317,-123.1482636
492860,2016-02-01,Theft from Vehicle,2016,2,6,18.0,30.0,3XX W 19TH AVE,Riley Park,491849.71,5455691.23,49.25393537,-123.1120007
470835,2015-11-01,Mischief,2015,11,20,22.0,45.0,8X W PENDER ST,Central Business District,492208.56,5458693.0,49.28094151,-123.1071279
514625,2017-06-01,Theft from Vehicle,2017,6,20,18.0,0.0,12XX HOMER ST,Central Business District,491033.04,5458054.99,49.27518639,-123.1232763
129555,2005-02-01,Theft from Vehicle,2005,2,3,18.0,45.0,39XX QUESNEL DR,Dunbar Southlands,487337.53,5455474.93,49.25191296,-123.1739997
471397,2015-04-01,Theft of Bicycle,2015,4,1,10.0,30.0,HORNBY ST / NELSON ST,Central Business District,490909.85,5458649.92,49.28053606,-123.1249834
145049,2006-01-01,Theft of Vehicle,2006,1,29,21.0,0.0,23XX E 4TH AVE,Grandview Woodland,495780.81,5457108.72,49.26672572,-123.0579948
358557,2012-10-01,Mischief,2012,10,5,21.0,0.0,4XX E 10TH AVE,Mount Pleasant,493127.41,5456528.42,49.26148174,-123.0944571
401827,2013-09-01,Theft from Vehicle,2013,9,6,20.0,30.0,CARRALL ST / KEEFER ST,Central Business District,492401.99,5458502.08,49.27922659,-123.1044647
94526,2004-09-01,Theft from Vehicle,2004,9,17,16.0,45.0,4XX BURRARD ST,Central Business District,491487.9,5459386.69,49.28717174,-123.1170513
451704,2015-08-01,Theft of Vehicle,2015,8,7,15.0,0.0,28XX W 8TH AVE,Kitsilano,487682.02,5456933.03,49.26503585,-123.1693109
134660,2005-07-01,Break and Enter Residential/Other,2005,7,5,16.0,0.0,9XX W 19TH AVE,South Cambie,490868.32,5455737.76,49.25434005,-123.125488
2253,2003-05-01,Theft from Vehicle,2003,5,8,7.0,30.0,11XX CARDERO ST,West End,490014.43,5459263.81,49.28604412,-123.1373101
441237,2015-01-01,Other Theft,2015,1,17,17.0,23.0,7XX GRANVILLE ST,Central Business District,491394.12,5458844.26,49.28229119,-123.1183292
183952,2006-03-01,Break and Enter Residential/Other,2006,3,16,12.0,30.0,41XX MUSQUEAM DR,Musqueam,485490.27,5452861.81,49.22836644,-123.1992889
422365,2014-07-01,Theft from Vehicle,2014,7,28,16.0,9.0,OAK ST / W 10TH AVE,Fairview,490785.25,5456638.36,49.26243987,-123.1266503
396324,2013-08-01,Other Theft,2013,8,21,9.0,49.0,17XX E BROADWAY AVE,Kensington Cedar Cottage,495037.21,5456613.97,49.26226976,-123.0682098
218771,2007-06-01,Theft from Vehicle,2007,6,25,17.0,30.0,17XX E 63RD AVE,Victoria Fraserview,494763.77,5451117.36,49.21282417,-123.0718962
95777,2004-09-01,Break and Enter Residential/Other,2004,9,25,2.0,0.0,7XX E 63RD AVE,Sunset,493484.63,5451131.62,49.21294017,-123.0894597
415696,2014-02-01,Theft from Vehicle,2014,2,2,2.0,0.0,CHARLES ST / MCLEAN DR,Grandview Woodland,494582.36,5457815.1,49.27307029,-123.0744776
37382,2003-02-01,Mischief,2003,2,2,7.0,40.0,E 1ST AVE / W 1ST AVE,Mount Pleasant,492388.73,5457494.53,49.27016334,-123.1046279
26470,2003-05-01,Theft from Vehicle,2003,5,19,14.0,41.0,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01,49.28245092,-123.1182643
452823,2015-03-01,Theft of Bicycle,2015,3,3,18.0,0.0,25XX YORK AVE,Kitsilano,488121.21,5457685.66,49.27181457,-123.1632966
254196,2008-11-01,Mischief,2008,11,17,14.0,14.0,31XX E 22ND AVE,Renfrew Collingwood,497163.39,5455320.82,49.25065116,-123.0389779
128323,2005-10-01,Break and Enter Residential/Other,2005,10,1,0.0,0.0,10XX W 59TH AVE,Marpole,490526.48,5451598.97,49.21710551,-123.1300877
342083,2011-10-01,Theft from Vehicle,2011,10,7,16.0,30.0,37XX W 30TH AVE,Dunbar Southlands,486378.13,5454739.01,49.24527262,-123.1871581
52867,2004-04-01,Mischief,2004,4,19,18.0,30.0,73XX VICTORIA DR,Victoria Fraserview,495203.12,5451692.84,49.21800437,-123.0658706
91143,2004-09-01,Break and Enter Residential/Other,2004,9,27,2.0,0.0,15XX WOODLAND DR,Grandview Woodland,494652.22,5457578.89,49.27094616,-123.0735141
88696,2004-12-01,Theft from Vehicle,2004,12,11,12.0,0.0,27XX E 3RD AVE,Hastings Sunrise,496409.42,5457199.79,49.26754892,-123.0493551
479586,2016-10-01,Break and Enter Commercial,2016,10,11,3.0,22.0,36XX W BROADWAY AVE,Kitsilano,486556.69,5456855.08,49.26431098,-123.1847758
496231,2016-01-01,Mischief,2016,1,9,15.0,0.0,4XX E 19TH AVE,Riley Park,492981.85,5455671.63,49.25377309,-123.0964426
206875,2007-12-01,Theft from Vehicle,2007,12,5,12.0,19.0,X NK_LOC ST,Riley Park,492757.49,5458792.47,49.28184301,-123.0995822
145541,2006-09-01,Theft of Vehicle,2006,9,16,3.0,30.0,21XX GRANT ST,Grandview Woodland,495568.94,5457613.26,49.27126265,-123.0609127
352843,2012-03-01,Break and Enter Residential/Other,2012,3,23,11.0,0.0,22XX E PENDER ST,Grandview Woodland,495705.71,5458615.07,49.28027509,-123.0590433
88167,2004-08-01,Theft from Vehicle,2004,8,13,14.0,30.0,25XX ONTARIO ST,Mount Pleasant,492363.85,5456681.24,49.26284733,-123.1049544
163888,2006-08-01,Other Theft,2006,8,8,17.0,43.0,11XX ROBSON ST,West End,490795.02,5459233.32,49.28578211,-123.1265757
224197,2008-02-01,Theft from Vehicle,2008,2,12,17.0,0.0,22XX W 1ST AVE,Kitsilano,488712.58,5457569.64,49.27078215,-123.1551638
338471,2011-12-01,Theft of Bicycle,2011,12,4,12.0,0.0,DUNSMUIR ST / RICHARDS ST,Central Business District,491675.88,5458852.3,49.28236741,-123.1144553
469912,2015-08-01,Vehicle Collision or Pedestrian Struck (with Injury),2015,8,24,15.0,17.0,ST GEORGE ST / E 62ND AVE,Sunset,493135.0,5451274.0,49.2142171,-123.0942628
254422,2008-10-01,Theft of Vehicle,2008,10,18,9.0,30.0,GRANDVIEW HWY / RUPERT ST,Renfrew Collingwood,497535.95,5456151.8,49.25812762,-123.0338637
387703,2013-12-01,Other Theft,2013,12,8,16.0,0.0,22XX W 4TH AVE,Kitsilano,488698.82,5457282.21,49.26819642,-123.1553448
383878,2013-04-01,Theft from Vehicle,2013,4,29,17.0,0.0,8XX SEYMOUR ST,Central Business District,491251.16,5458553.29,49.27967184,-123.1202885
454120,2015-01-01,Other Theft,2015,1,17,18.0,49.0,3XX ABBOTT ST,Central Business District,492218.71,5458879.66,49.28262067,-123.106992
117103,2005-12-01,Theft from Vehicle,2005,12,12,12.0,15.0,1XX E CORDOVA ST,Central Business District,492668.51,5458849.62,49.28235602,-123.1008067
105801,2005-08-01,Theft of Vehicle,2005,8,18,23.0,0.0,17XX ONTARIO ST,Mount Pleasant,492393.36,5457493.08,49.27015035,-123.1045642
213673,2007-06-01,Theft from Vehicle,2007,6,17,20.0,45.0,E PENDER ST / GORE AVE,Strathcona,492922.96,5458624.7,49.28033583,-123.0973041
296020,2010-05-01,Other Theft,2010,5,22,20.0,35.0,22XX W BROADWAY AVE,Kitsilano,488645.58,5456797.2,49.26383269,-123.1560629
236816,2008-08-01,Theft from Vehicle,2008,8,25,15.0,0.0,13XX HOWE ST,Central Business District,490565.45,5458169.34,49.27620795,-123.1297073
128979,2005-03-01,Break and Enter Residential/Other,2005,3,15,23.0,0.0,64XX PRINCE ALBERT ST,Sunset,493587.48,5452562.65,49.22581375,-123.0880704
407848,2013-08-01,Vehicle Collision or Pedestrian Struck (with Injury),2013,8,29,21.0,20.0,W 41ST AVE / OAK ST,Shaughnessy,490676.0,5453477.0,49.23400114,-123.1280782
122518,2005-08-01,Break and Enter Commercial,2005,8,17,3.0,40.0,7XX DENMAN ST,West End,490197.87,5459910.72,49.29186614,-123.1348035
11666,2003-11-01,Mischief,2003,11,18,21.0,30.0,5XX E 8TH AVE,Mount Pleasant,493270.67,5456742.57,49.26340966,-123.0924917
504506,2016-02-01,Break and Enter Residential/Other,2016,2,10,21.0,0.0,81XX FRENCH ST,Marpole,489865.04,5451007.56,49.21177504,-123.1391555
523154,2017-01-01,Mischief,2017,1,20,12.0,8.0,7XX BUTE ST,West End,490796.73,5459281.25,49.28621328,-123.1265533
456584,2015-06-01,Theft from Vehicle,2015,6,30,19.0,0.0,1XX WATER ST,Central Business District,492203.27,5459031.65,49.28398765,-123.1072072
195115,2007-08-01,Mischief,2007,8,5,11.0,30.0,E HASTINGS ST / MAIN ST,Strathcona,492749.79,5458737.38,49.28134737,-123.0996871
162134,2006-10-01,Theft from Vehicle,2006,10,4,17.0,0.0,9XX W 21ST AVE,South Cambie,490757.14,5455541.26,49.25257083,-123.1270113
56051,2004-04-01,Mischief,2004,4,13,10.0,22.0,7XX POWELL ST,Strathcona,493543.74,5458914.06,49.28294554,-123.0887735
467440,2015-06-01,Theft from Vehicle,2015,6,7,21.0,0.0,48XX ROSS ST,Kensington Cedar Cottage,494064.8,5454286.23,49.24132258,-123.0815404
480363,2016-05-01,Theft from Vehicle,2016,5,26,22.0,0.0,29XX VENABLES ST,Hastings Sunrise,496912.15,5458181.97,49.27638656,-123.0424523
345026,2011-08-01,Break and Enter Residential/Other,2011,8,1,15.0,30.0,7XX E GEORGIA ST,Strathcona,493537.71,5458402.55,49.27834436,-123.0888482
282827,2009-03-01,Theft from Vehicle,2009,3,14,13.0,42.0,22XX E 7TH AVE,Grandview Woodland,495718.74,5456817.84,49.26410876,-123.0588449
466934,2015-02-01,Theft from Vehicle,2015,2,14,19.0,0.0,10XX RICHARDS ST,Central Business District,491097.48,5458263.2,49.27706022,-123.122395
506072,2016-12-01,Break and Enter Residential/Other,2016,12,16,15.0,51.0,63XX TYNE ST,Killarney,497648.9,5452540.39,49.22564257,-123.0322902
141769,2005-11-01,Other Theft,2005,11,5,13.0,18.0,10XX ROBSON ST,West End,491064.66,5458965.5,49.28337704,-123.1228619
266876,2009-03-01,Theft from Vehicle,2009,3,29,23.0,0.0,11XX RICHARDS ST,Central Business District,490981.52,5458146.73,49.27601085,-123.1239867
382639,2013-03-01,Other Theft,2013,3,6,16.0,47.0,11XX ROBSON ST,West End,490882.23,5459146.21,49.28499985,-123.1253745
23002,2003-12-01,Theft from Vehicle,2003,12,1,18.0,20.0,9XX HOWE ST,Central Business District,491092.6,5458690.38,49.2809027,-123.1224716
466990,2015-12-01,Vehicle Collision or Pedestrian Struck (with Injury),2015,12,23,13.0,39.0,20XX E 41ST AVE,Victoria Fraserview,495254.0,5453331.0,49.23274043,-123.0651913
210191,2007-12-01,Theft from Vehicle,2007,12,16,2.0,0.0,SEYMOUR ST / W PENDER ST,Central Business District,491721.62,5459035.92,49.28401973,-123.1138301
34665,2003-08-01,Mischief,2003,8,13,21.0,16.0,BURRARD ST / W GEORGIA ST,West End,491193.2,5459080.03,49.28440912,-123.121097
125420,2005-11-01,Break and Enter Commercial,2005,11,12,16.0,0.0,9XX BURRARD ST,Central Business District,490874.21,5458756.87,49.28149756,-123.1254759
91949,2004-11-01,Theft from Vehicle,2004,11,16,23.0,30.0,35XX WILLOW ST,South Cambie,491116.39,5455730.48,49.25427822,-123.1220788
68127,2004-03-01,Theft of Vehicle,2004,3,30,8.0,10.0,65XX CAMBIE ST,Oakridge,491530.66,5452589.05,49.22602623,-123.1163195
397733,2013-09-01,Break and Enter Residential/Other,2013,9,3,20.0,30.0,10XX PACIFIC ST,West End,490258.89,5458368.3,49.27799282,-123.1339268
467653,2015-03-01,Vehicle Collision or Pedestrian Struck (with Injury),2015,3,12,15.0,3.0,87XX BLOCK OAK ST,Marpole,490512.0,5450459.0,49.20685096,-123.1302596
451480,2015-10-01,Theft from Vehicle,2015,10,9,23.0,0.0,26XX DUNDAS ST,Hastings Sunrise,496286.67,5459119.84,49.28481939,-123.0510602
100150,2005-09-01,Theft of Vehicle,2005,9,15,22.0,0.0,27XX E 48TH AVE,Victoria Fraserview,496233.92,5452567.9,49.22588297,-123.0517239
91319,2004-10-01,Theft from Vehicle,2004,10,5,3.0,50.0,34XX BRIDGEWAY,Hastings Sunrise,497823.92,5459654.36,49.28963489,-123.0299251
297484,2010-08-01,Break and Enter Commercial,2010,8,19,20.0,30.0,25XX GRANVILLE ST,Fairview,489923.74,5456737.23,49.26331564,-123.1384936
197464,2007-03-01,Mischief,2007,3,30,0.0,14.0,41XX QUESNEL DR,Arbutus Ridge,487499.2,5455220.34,49.2496262,-123.1717702
471482,2015-02-01,Theft from Vehicle,2015,2,13,0.0,0.0,28XX BIRCH ST,Fairview,490266.44,5456422.54,49.2604905,-123.1337757
138188,2005-05-01,Theft from Vehicle,2005,5,28,23.0,0.0,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52,49.27927749,-123.1208896
475480,2016-07-01,Theft from Vehicle,2016,7,3,0.0,1.0,9X W 16 AV,Riley Park,492223.45,5455991.47,49.25664095,-123.1068707
58714,2004-08-01,Theft of Bicycle,2004,8,2,15.0,0.0,4XX W HASTINGS ST,Central Business District,491923.82,5458982.66,49.28354335,-123.1110488
298675,2010-09-01,Break and Enter Commercial,2010,9,22,22.0,40.0,30XX MILLER DR,Hastings Sunrise,496995.23,5459221.61,49.28573872,-123.0413179
45422,2003-11-01,Mischief,2003,11,19,19.0,0.0,37XX DUNBAR ST,Dunbar Southlands,486529.38,5455592.42,49.25295254,-123.1851087
96362,2004-09-01,Theft from Vehicle,2004,9,17,22.0,0.0,5X EXPO BLVD,Central Business District,492244.75,5458392.72,49.2782409,-123.1066245
487169,2016-09-01,Theft from Vehicle,2016,9,26,14.0,14.0,X NK_LOC ST,Central Business District,492765.94,5458793.3,49.28185057,-123.0994661
376177,2012-10-01,Theft of Vehicle,2012,10,10,10.0,0.0,24XX ONTARIO ST,Mount Pleasant,492374.57,5456740.75,49.26338277,-123.1048082
170853,2006-06-01,Break and Enter Residential/Other,2006,6,14,12.0,42.0,58XX MAIN ST,Sunset,492619.56,5453174.18,49.23130371,-123.1013752
456165,2015-02-01,Theft from Vehicle,2015,2,4,0.0,49.0,12XX ROBSON ST,West End,490758.28,5459257.09,49.28599537,-123.1270814
276758,2009-05-01,Theft of Vehicle,2009,5,24,9.0,5.0,5XX E 48TH AVE,Sunset,493212.93,5452650.92,49.22660372,-123.093216
205567,2007-04-01,Theft from Vehicle,2007,4,15,18.0,30.0,10XX BEACH AVE,West End,490232.62,5458203.36,49.27650874,-123.1342839
424152,2014-08-01,Break and Enter Residential/Other,2014,8,24,14.0,0.0,69XX VIVIAN ST,Killarney,496321.29,5451946.33,49.22029231,-123.0505183
474797,2015-01-01,Break and Enter Commercial,2015,1,15,5.0,3.0,34XX MONS DR,Renfrew Collingwood,497872.55,5455694.5,49.25401537,-123.0292353
209142,2007-06-01,Theft of Vehicle,2007,6,10,10.0,0.0,17XX VINE ST,Kitsilano,488553.25,5457573.63,49.27081508,-123.1573542
360155,2012-12-01,Mischief,2012,12,10,11.0,30.0,9XX NICOLA ST,West End,490284.83,5459365.99,49.2869676,-123.1335944
117206,2005-10-01,Theft of Bicycle,2005,10,3,7.0,54.0,22XX FRANKLIN ST,Grandview Woodland,495697.05,5458810.92,49.28203673,-123.0591644
355569,2012-01-01,Break and Enter Residential/Other,2012,1,31,11.0,30.0,6XX E 24TH AVE,Riley Park,493335.07,5455169.9,49.24926388,-123.0915804
426303,2014-12-01,Theft of Bicycle,2014,12,16,13.0,0.0,18XX HARO ST,West End,490010.4,5459845.21,49.29127383,-123.1373801
273027,2009-05-01,Theft from Vehicle,2009,5,1,18.0,30.0,7XX GRANVILLE ST,Central Business District,491295.24,5458744.77,49.28139486,-123.1196866
246798,2008-05-01,Mischief,2008,5,14,15.0,0.0,54XX FLEMING ST,Kensington Cedar Cottage,494704.27,5453658.28,49.23567989,-123.0727467
90295,2004-12-01,Theft from Vehicle,2004,12,6,8.0,11.0,30XX E 8TH AVE,Hastings Sunrise,497012.42,5456680.92,49.26288483,-123.0410625
398459,2013-01-01,Break and Enter Residential/Other,2013,1,11,22.0,34.0,6XX W 7TH AVE,Fairview,491336.32,5456932.0,49.26508927,-123.1190826
233135,2008-05-01,Break and Enter Commercial,2008,5,2,17.0,0.0,85XX GRANVILLE ST,Marpole,489760.8,5450702.68,49.20903083,-123.1405789
77166,2004-08-01,Theft from Vehicle,2004,8,11,4.0,0.0,10XX NELSON ST,West End,490822.77,5458727.23,49.28123018,-123.1261825
63342,2004-10-01,Other Theft,2004,10,10,18.0,47.0,17XX E BROADWAY AVE,Kensington Cedar Cottage,495037.21,5456613.97,49.26226976,-123.0682098
373795,2012-09-01,Theft from Vehicle,2012,9,27,21.0,21.0,5XX DUNSMUIR ST,Central Business District,491669.23,5458852.51,49.28236921,-123.1145467
243717,2008-10-01,Theft from Vehicle,2008,10,26,22.0,0.0,E GEORGIA ST / KAMLOOPS ST,Hastings Sunrise,496028.45,5458394.05,49.27828916,-123.0546036
137051,2005-06-01,Other Theft,2005,6,29,20.0,10.0,16XX DAVIE ST,West End,489854.22,5459227.25,49.28571262,-123.1395122
411370,2014-06-01,Theft from Vehicle,2014,6,30,16.0,0.0,18XX E 7TH AVE,Grandview Woodland,495067.55,5456819.47,49.26411852,-123.0677953
6071,2003-03-01,Mischief,2003,3,12,10.0,48.0,4XX W 59TH AVE,Marpole,491698.49,5451579.52,49.21694756,-123.1139937
236366,2008-03-01,Mischief,2008,3,13,0.0,0.0,29XX E 28TH AVE,Renfrew Collingwood,496945.36,5454733.55,49.24536748,-123.0419694
155004,2006-08-01,Theft from Vehicle,2006,8,24,15.0,0.0,11XX ROBSON ST,West End,490796.99,5459218.42,49.28564812,-123.1265482
272928,2009-03-01,Other Theft,2009,3,30,12.0,45.0,12XX ROBSON ST,West End,490665.8,5459362.41,49.28694134,-123.1283556
25589,2003-04-01,Theft from Vehicle,2003,4,30,18.0,10.0,7XX W GEORGIA ST,Central Business District,491401.32,5458865.33,49.28248082,-123.1182307
367229,2012-09-01,Vehicle Collision or Pedestrian Struck (with Injury),2012,9,3,16.0,36.0,BEACH AVE / HOWE ST,Central Business District,490411.0,5458008.0,49.27475427,-123.1318269
9467,2003-06-01,Break and Enter Residential/Other,2003,6,12,13.0,0.0,80XX CARTIER ST,Marpole,489968.96,5451107.01,49.21267133,-123.1377311
270147,2009-02-01,Theft of Vehicle,2009,2,20,22.0,0.0,27XX W KING EDWARD AVE,Arbutus Ridge,487956.26,5455033.4,49.24795381,-123.1654843
493077,2016-11-01,Other Theft,2016,11,16,14.0,6.0,5XX W HASTINGS ST,Central Business District,491852.34,5459054.23,49.28418618,-123.1120331
256321,2008-09-01,Theft from Vehicle,2008,9,27,17.0,0.0,82XX KERR ST,Killarney,496947.53,5450791.05,49.20990369,-123.0419096
372743,2012-05-01,Theft from Vehicle,2012,5,19,13.0,0.0,49XX KILLARNEY ST,Renfrew Collingwood,496869.66,5454085.09,49.23953405,-123.0430044
475318,2016-09-01,Break and Enter Residential/Other,2016,9,12,22.0,0.0,23XX W 19TH AVE,Arbutus Ridge,488393.63,5455863.63,49.25543033,-123.1594988
376084,2012-02-01,Theft from Vehicle,2012,2,11,19.0,0.0,13XX E GEORGIA ST,Grandview Woodland,494394.18,5458420.4,49.27851338,-123.0770731
163296,2006-10-01,Theft from Vehicle,2006,10,20,23.0,30.0,28XX E 16TH AVE,Renfrew Collingwood,496582.23,5455848.15,49.25539164,-123.0469681
326401,2011-01-01,Theft from Vehicle,2011,1,28,19.0,30.0,9XX SEYMOUR ST,Central Business District,491239.43,5458541.49,49.27956553,-123.1204496
248041,2008-08-01,Break and Enter Commercial,2008,8,10,20.0,42.0,11XX NELSON ST,West End,490662.69,5458898.58,49.28276907,-123.1283875
269975,2009-11-01,Theft of Vehicle,2009,11,26,18.0,0.0,27XX E 52ND AVE,Victoria Fraserview,496217.05,5452121.15,49.22186423,-123.0519514
64967,2004-07-01,Theft of Vehicle,2004,7,11,18.0,30.0,30XX YUKON ST,Mount Pleasant,491776.69,5456216.1,49.2586557,-123.113015
156880,2006-05-01,Theft from Vehicle,2006,5,24,21.0,30.0,BUTE ST / ROBSON ST,West End,490767.24,5459254.6,49.28597311,-123.1269582
221724,2007-02-01,Theft from Vehicle,2007,2,19,22.0,0.0,40XX ST CATHERINES ST,Kensington Cedar Cottage,493757.98,5455151.91,49.24910651,-123.0857691
162584,2006-07-01,Mischief,2006,7,30,3.0,21.0,23XX MAIN ST,Mount Pleasant,492646.62,5456830.72,49.2641954,-123.1010706
448894,2015-03-01,Other Theft,2015,3,4,14.0,31.0,60XX FRASER ST,Sunset,493397.06,5452944.43,49.22924593,-123.0906919
249433,2008-04-01,Theft of Vehicle,2008,4,15,21.0,30.0,33XX TURNER ST,Hastings Sunrise,497602.73,5458474.22,49.2790185,-123.0329598
82257,2004-12-01,Theft from Vehicle,2004,12,5,11.0,10.0,15XX THORNTON ST,Strathcona,493211.29,5457649.74,49.27156916,-123.0933233
151115,2006-03-01,Break and Enter Commercial,2006,3,26,9.0,20.0,32XX GRANDVIEW HWY,Renfrew Collingwood,497511.99,5456147.19,49.25808605,-123.0341929
342790,2011-05-01,Vehicle Collision or Pedestrian Struck (with Injury),2011,5,19,17.0,30.0,W 71ST AVE / OSLER ST,Marpole,490407.0,5450468.0,49.20693028,-123.1317014
528868,2017-04-01,Other Theft,2017,4,17,20.0,12.0,20XX E HASTINGS ST,Grandview Woodland,495500.98,5458710.91,49.28113571,-123.0618592
213864,2007-05-01,Other Theft,2007,5,10,12.0,34.0,2X W HASTINGS ST,Central Business District,492353.4,5458773.4,49.28166655,-123.105138
482397,2016-10-01,Theft from Vehicle,2016,10,1,22.0,0.0,12XX BURNABY ST,West End,490152.26,5458787.77,49.28176431,-123.1354031
353844,2012-05-01,Break and Enter Residential/Other,2012,5,18,14.0,15.0,32XX E 24TH AVE,Renfrew Collingwood,497503.07,5455106.81,49.24872757,-123.034309
169595,2006-04-01,Mischief,2006,4,24,21.0,3.0,20XX FRASERVIEW DR,Victoria Fraserview,495235.15,5451032.69,49.21206639,-123.0654229
138658,2005-07-01,Vehicle Collision or Pedestrian Struck (with Injury),2005,7,8,5.0,54.0,ASH ST / W BROADWAY AVE,Fairview,491449.0,5456727.0,49.26324685,-123.1175294
270441,2009-04-01,Mischief,2009,4,14,7.0,29.0,15XX MAIN ST,Mount Pleasant,492697.83,5457658.41,49.27164124,-123.1003818
65308,2004-10-01,Theft of Vehicle,2004,10,2,23.0,0.0,33XX E 26TH AVE,Renfrew Collingwood,497551.67,5454920.78,49.24705438,-123.0336401
195783,2007-07-01,Mischief,2007,7,6,23.0,13.0,2XX E 17TH AVE,Riley Park,492762.8,5455877.35,49.25562104,-123.0994565
16364,2003-07-01,Theft of Vehicle,2003,7,17,15.0,45.0,10XX HORNBY ST,Central Business District,490907.27,5458640.74,49.28045345,-123.1250187
75630,2004-04-01,Other Theft,2004,4,14,9.0,55.0,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01,49.28245092,-123.1182643
63462,2004-10-01,Mischief,2004,10,31,21.0,58.0,9XX NICOLA ST,West End,490386.65,5459468.9,49.2878949,-123.1321967
174330,2006-01-01,Break and Enter Residential/Other,2006,1,2,12.0,26.0,65XX FLEMING ST,Victoria Fraserview,494675.78,5452430.63,49.22463662,-123.0731218
501360,2016-06-01,Mischief,2016,6,10,7.0,30.0,20XX E GEORGIA ST,Grandview Woodland,495497.12,5458401.32,49.27835087,-123.0619088
93600,2004-06-01,Theft from Vehicle,2004,6,18,1.0,15.0,41XX GLADSTONE ST,Kensington Cedar Cottage,495603.08,5455119.65,49.24883237,-123.060416
216105,2007-02-01,Mischief,2007,2,27,14.0,14.0,5XX CARDERO ST,Central Business District,490580.77,5459849.39,49.29132049,-123.1295363
466988,2015-05-01,Theft from Vehicle,2015,5,4,18.0,30.0,47XX NW MARINE DR,West Point Grey,484285.57,5458184.75,49.27621739,-123.216044
96899,2004-07-01,Theft from Vehicle,2004,7,24,17.0,0.0,5XX COLUMBIA ST,Central Business District,492562.34,5458570.57,49.27984464,-123.1022614
358968,2012-10-01,Mischief,2012,10,28,0.0,0.0,5XX E 44TH AVE,Sunset,493222.11,5453038.24,49.23008787,-123.0930965
13034,2003-10-01,Theft of Vehicle,2003,10,9,12.0,0.0,19XX MAIN ST,Mount Pleasant,492675.03,5457224.81,49.26774065,-123.1006873
389829,2013-07-01,Mischief,2013,7,2,3.0,50.0,22XX KINGSWAY AVE,Kensington Cedar Cottage,495714.83,5454390.01,49.24226988,-123.0588726
519949,2017-05-01,Theft from Vehicle,2017,5,14,16.0,0.0,16XX BAYSHORE DR,Central Business District,490598.52,5459866.26,49.29147251,-123.1292926
479539,2016-01-01,Break and Enter Commercial,2016,1,8,18.0,0.0,3X W 1ST AVE,Mount Pleasant,492330.28,5457490.71,49.27012824,-123.1054313
222706,2007-07-01,Other Theft,2007,7,11,18.0,10.0,7XX W GEORGIA ST,Central Business District,491401.32,5458865.33,49.28248082,-123.1182307
211022,2007-10-01,Theft of Vehicle,2007,10,14,18.0,0.0,33XX ANZIO DR,Renfrew Collingwood,497690.46,5455500.86,49.25227287,-123.0317365
476012,2016-07-01,Theft from Vehicle,2016,7,24,3.0,0.0,9XX RICHARDS ST,Central Business District,491247.35,5458413.93,49.27841822,-123.1203379
451832,2015-07-01,Other Theft,2015,7,27,16.0,48.0,7XX GRANVILLE ST,Central Business District,491394.12,5458844.26,49.28229119,-123.1183292
168261,2006-05-01,Mischief,2006,5,24,23.0,31.0,28XX ARBUTUS ST,Kitsilano,488867.81,5456476.8,49.26095472,-123.1529995
496437,2016-11-01,Mischief,2016,11,13,9.0,0.0,49XX MOSS ST,Renfrew Collingwood,496758.86,5454210.24,49.24065923,-123.0445276
284643,2009-12-01,Other Theft,2009,12,13,12.0,1.0,7XX GRANVILLE ST,Central Business District,491295.24,5458744.77,49.28139486,-123.1196866
210080,2007-11-01,Mischief,2007,11,11,18.0,56.0,50XX RUPERT ST,Renfrew Collingwood,497161.4,5454079.25,49.23948294,-123.0389965
104590,2005-02-01,Theft of Vehicle,2005,2,4,19.0,0.0,19XX W 17TH AVE,Shaughnessy,489150.63,5455960.85,49.25631874,-123.1490985
192436,2007-02-01,Theft from Vehicle,2007,2,13,21.0,0.0,47XX QUEBEC ST,Riley Park,492534.12,5454437.1,49.24266293,-123.1025723
310623,2010-04-01,Break and Enter Residential/Other,2010,4,3,15.0,0.0,6XX W 12TH AVE,Fairview,491389.5,5456412.56,49.26041757,-123.1183404
179190,2006-04-01,Theft of Vehicle,2006,4,9,22.0,0.0,57XX WALES ST,Victoria Fraserview,496243.97,5453328.28,49.23272284,-123.051593
43195,2003-04-01,Theft from Vehicle,2003,4,22,9.0,0.0,19XX COMOX ST,West End,489682.17,5459720.79,49.2901492,-123.1418908
309645,2010-05-01,Break and Enter Residential/Other,2010,5,5,22.0,0.0,5XX DENMAN ST,Central Business District,490359.3,5460086.85,49.29345302,-123.1325877
